product_id,product_brand,product_name,product_sku,product_retail_price,product_cost,product_weight,recyclable,low_fat
123,Hilltop Farms,Hilltop Farms Extra Crunchy Ground Beef,HF-00123-W,7.86,3.8,1.6,0,1
124,Crystal Springs,Crystal Springs Lite Shrimp,CS-00124-M,9.58,6.24,2.11,yes,0
125,Farmhouse Select,Farmhouse Select Low Sodium TV Dinner,FS-00125-S,6.22,4.19,2.58,1,0
126,Everyday Basics,Everyday Basics Reduced Fat Ham,EB-00126-G,8.61,3.31,3.4,no,N
127,Silver Creek,Silver Creek Traditional Crab Legs,SC-00127-B,15.64,6.58,2.26,True,0
128,Golden Valley,Golden Valley Value Pack Cod,GV-00128-N,7.49,2.95,2.1,0,0
129,Hilltop Farms,Hilltop Farms Gourmet Ice Cream,HF-00129-G,3.85,1.53,2.08,1,no
130,coastal fresh,Coastal Fresh Low Sodium Onions,CF-00130-H,1.9,0.97,1.12,0,False
131,EcoHarvest,EcoHarvest Low Sodium Bananas,E-00131-V,1.88,0.99,2.18,1,No
132,Value Plus,Value Plus Lite Bread,VP-00132-A,2.7,1.85,0.49,1,0.0
133,Heritage Foods,Heritage Foods Original Shampoo,HF-00133-N,8.52,3.93,1.01,0,no
134,Silver Creek,Silver Creek Family Size Laundry Detergent,sc-00134-o,7.67,3.83,2.05,1,0
135,GreenLeaf,GreenLeaf Extra Crunchy Ice Cream,G-00135-N,7.37,4.47,2.98,1,False
136,Everyday Basics,Everyday Basics Fresh Frozen Fries,EB-00136-E,6.48,3.9,2.72,1,0
137,EcoHarvest  ,EcoHarvest Lite Toothpaste,E-00137-X,5.48,3.25,1.14,1,No
138,Sunrise Organics,Sunrise Organics Lite Shampoo,SO-00138-P,2.81,1.47,0.75,True,N
139,Premium Choice,Premium Choice Low Sodium Bacon,PC-00139-S,8.42,5.37,1.69,1,1
140,Sunrise Organics,Sunrise Organics Lite Chicken Breast,SO-00140-D,10.83,6.26,2.9,0,0
141,bLUEpEAK,BluePeak Value Pack Shampoo,B-00141-A,10.25,5.2,0.71,1,0
142,BluePeak,BluePeak Fresh Tea,B-00142-W,1.41,0.79,1.65,no,False
143,Prime Select,Prime Select Classic Ice Cream,PS-00143-L,6.07,4.01,2.71,1,0
144,EcoHarvest,EcoHarvest Value Pack Bagels,E-00144-I,3.87,2.2,0.32,1,no
145,American Classic,American Classic Gourmet Carrots,AC-00145-U,2.42,1.28,2.14,1,N
146,Sunrise Organics,Sunrise Organics Mini Soda,SO-00146-W,5.19,1.91,1.46,0,0
147,Meadowbrook,Meadowbrook Reduced Fat Popcorn,M-00147-E,2.68,1.32,0.91,0.0,0
148,Hilltop Farms,Hilltop Farms Jumbo Ice Cream,HF-00148-Z,3.98,1.57,1.45,0,0
149,BluePeak,BluePeak Traditional Sausage,B-00149-H,10.08,3.76,3.17,0,1.0
150,Heritage Foods,Heritage Foods Jumbo Cookies,HF-00150-D,3.24,1.41,0.71,0,0
151,Heritage Foods,Heritage Foods Low Sodium Soda,HF-00151-J,4.44,3.09,1.78,Y,0
152,Meadowbrook,Meadowbrook Value Pack Vitamins,M-00152-O,5.52,3.72,0.41,Yes,N
153,Premium Choice,Premium Choice Organic Cream,PC-00153-R,$5.95,3.94,1.01,0.0,False
154,Everyday Basics,Everyday Basics Fresh Muffins,EB-00154-B,4.31,2.89,1.16,,False
155,Farmhouse Select,Farmhouse Select Lite Deodorant,FS-00155-U,3.09,1.87,0.58,0,0
156,Prime Select,Prime Select Jumbo Shampoo,PS-00156-Y,5.12,3.58,0.56,True,no
157,EcoHarvest,EcoHarvest Organic Ice Cream,E-00157-J,3.3,1.17,2.12,1,0.0
158,TrueTaste,TrueTaste Reduced Fat Tilapia,T-00158-M,4.6,2.42,1.81,0,False
159,Golden Harvest,Golden Harvest Original Salmon Fillet,GH-00159-W,14.77,5.81,0.6,1,0
160,Coastal Fresh,Coastal Fresh Mini Lotion,CF-00160-O,9.91,6.72,0.55,1,0.0
161,cRYSTAL sPRINGS,Crystal Springs Fresh Tea,CS-00161-L,$1.12,0.7,1.65,no,0
162,TrueTaste,TrueTaste Lite Bacon,T-00162-R,6.53,3.92,1.92,1.0,0
163,Value Plus,Value Plus Classic Toothpaste,VP-00163-L,3.63,1.83,1.04,1,False
164,Silver Creek,Silver Creek Low Sodium Aluminum Foil,SC-00164-X,5.23,2.85,2.88,0,0
165,Crystal Springs,Crystal Springs Organic Ice Cream,CS-00165-R,6.66,4.19,2.71,1,0
166,Value Plus,Value Plus Jumbo Pretzels,VP-00166-R,2.2,0.82,0.85,Yes,0
167,BluePeak,BluePeak Original Croissants,B-00167-M,$4.15,2.29,0.84,No,0
168,BluePeak,BluePeak Mini Soda,B-00168-T,3.55,1.35,2.06,0,N
169,Golden Valley,Golden Valley Organic Tilapia,GV-00169-K,13.26,5.85,1.26,yes,0
170,Urban Pantry,Urban Pantry Jumbo Crackers,UP-00170-S,3.73,2.19,,0,0
171,GreenLeaf,GreenLeaf Deluxe Muffins,G-00171-G,1.57,0.82,0.76,False,0
172,  Northern Mills  ,Northern Mills Gourmet Donuts,NM-00172-J,1.92,1.09,1.37,1,False
173,TrueTaste,TrueTaste Jumbo Bottled Water,T-00173-I,1.83,,2.28,1,no
174,Urban Pantry,Urban Pantry Fresh Vitamins,UP-00174-D,8.38,4.2,1.02,0,0
175,Premium Choice,Premium Choice Gourmet Shampoo,PC-00175-S,11.01,7.68,1.07,0,False
176,Golden Harvest,Golden Harvest Low Sodium Deodorant,GH-00176-F,6.07,3.45,0.5,1,0
177,Wholesome Co,Wholesome Co Family Size Paper Towels,WC-00177-L,5.99,3.77,2.91,1,0
178,gOLDEN hARVEST,Golden Harvest Family Size Tuna,GH-00178-K,12.94,5.39,1.43,1,0.0
179,American Classic,American Classic Original Cream,AC-00179-X,6.2,3.99,0.87,0,0
180,GreenLeaf,GreenLeaf Extra Crunchy Laundry Detergent,G-00180-V,4.68,2.74,1.88,Y,no
181,TrueTaste,TrueTaste Deluxe Paper Towels,T-00181-J,5.32,2.65,2.98,0,0
182,NATURES BEST,Natures Best Value Pack Tuna,NB-00182-N,5.11,2.49,0.67,0,no
183,TrueTaste,TrueTaste Extra Crunchy Frozen Fries,T-00183-T,7.58,3.82,1.91,1,0
184,Coastal Fresh,Coastal Fresh Lite Cheese,CF-00184-I,2.26,1.53,2.43,0,0
185,Silver Creek,Silver Creek Traditional Frozen Vegetables,SC-00185-D,$2.74,1.06,1.7,0,0.0
186,Heritage Foods,Heritage Foods Extra Crunchy Shampoo,HF-00186-D,8.09,3.28,,1,
187,BluePeak,BluePeak Traditional Shrimp,B-00187-R,11.83,6.05,1.93,0,0
188,Prime Select,Prime Select Jumbo Tea,PS-00188-N,4.2,2.46,2.49,1.0,no
189,Golden Harvest,Golden Harvest Mini Carrots,GH-00189-N,0.86,0.36,2.9,no,N
190,Golden Harvest,Golden Harvest Extra Crunchy Ice Cream,GH-00190-I,4.74,2.39,1.73,1,N
191,Heritage Foods,Heritage Foods Deluxe Toothpaste,HF-00191-D,9.44,5.44,0.31,1,N
192,EcoHarvest,EcoHarvest Classic Cream,E-00192-T,6.46,3.81,1.1,0,N
193,Farmhouse Select,Farmhouse Select Mini Popcorn,FS-00193-X,2.74,1.57,0.47,Yes,1
194,  Prime Select,Prime Select Traditional Butter,PS-00194-Q,6.45,,2.09,1.0,N
195,Northern Mills,Northern Mills Value Pack Laundry Detergent,NM-00195-O,8.19,4.16,3.89,0,N
196,Value Plus,Value Plus Original Lettuce,VP-00196-C,1.33,0.49,1.0,Y,0
197,Coastal Fresh,Coastal Fresh Deluxe Ground Beef,CF-00197-F,10.35,3.7,2.98,1,False
198,prime select,Prime Select Original Sausage,PS-00198-F,10.73,6.85,0.87,1,0
199,Prime Select,Prime Select Value Pack Lotion,PS-00199-A,10.78,7.03,1.04,Y,0
200,greenleaf,GreenLeaf Jumbo Lettuce,G-00200-I,$3.19,2.05,0.91,1,False
201,Meadowbrook,Meadowbrook Original Frozen Vegetables,M-00201-W,8.59,5.91,2.29,1,0
202,Sunrise Organics,Sunrise Organics Traditional Bottled Water,SO-00202-H,1.55,0.71,2.31,1,N
203,EcoHarvest,EcoHarvest Reduced Fat Juice,E-00203-C,6.98,3.98,1.06,0,0
204,Prime Select,Prime Select Jumbo Trash Bags,PS-00204-E,3.94,1.9,1.0,1,0
205,pREMIUM cHOICE,Premium Choice Reduced Fat Bar Soap,PC-00205-T,6.23,2.91,0.82,1,False
206,family choice,Family Choice Fresh Apples,FC-00206-N,2.1,1.26,,0,0
207,Pure Origins,Pure Origins Fresh Tea,PO-00207-P,2.1,1.25,1.14,1,0
208,Coastal Fresh,Coastal Fresh Organic Cream,CF-00208-R,5.11,3.18,1.78,1,0.0
209,Value Plus,Value Plus Lite Frozen Pizza,VP-00209-H,5.23,2.15,1.56,0,0
210,EVERYDAY BASICS,Everyday Basics Value Pack Crab Legs,EB-00210-S,12.82,7.73,2.39,0.0,0
211,Sunrise Organics,Sunrise Organics Deluxe Frozen Pizza,SO-00211-O,5.62,,1.38,yes,0
212,Sunrise Organics,Sunrise Organics Organic Popcorn,SO-00212-L,2.2,0.78,0.43,1,0
213,EcoHarvest,EcoHarvest Gourmet Apples,E-00213-T,3.77,1.57,1.43,0,0
214,Sunrise Organics,Sunrise Organics Fresh Cheese,SO-00214-T,4.71,1.68,1.53,yes,0
215,prime select,Prime Select Original Tuna,PS-00215-X,4.28,1.9,2.49,yes,0
216,Hilltop Farms,Hilltop Farms Mini Juice,hf-00216-q,2.07,1.33,2.26,1,0
217,Golden Harvest,Golden Harvest Original Onions,GH-00217-I,3.06,1.97,0.73,1,No
218,Value Plus,Value Plus Jumbo Sausage,VP-00218-U,7.17,3.76,2.03,1,N
219,Value Plus,Value Plus Gourmet Cheese,VP-00219-P,2.36,1.47,0.91,1,0
220,Prime Select,Prime Select Deluxe Ham,PS-00220-N,9.07,6.26,1.96,1,0
221,Meadowbrook,Meadowbrook Low Sodium Bananas,M-00221-D,0.74,0.31,1.97,0,N
222,Prime Select,Prime Select Mini Sports Drink,PS-00222-P,$1.64,1.09,1.49,0,0
223,EcoHarvest,EcoHarvest Family Size Pork Chops,e-00223-h,10.45,4.51,2.02,True,0
224,Silver Creek,Silver Creek Classic Bagels,SC-00224-F,1.55,0.81,1.38,0,
225,Prime Select,Prime Select Classic Yogurt,PS-00225-D,5.38,2.5,2.36,0,
226,American Classic,American Classic Lite Crab Legs,AC-00226-J,5.04,3.29,0.96,0,N
227,EcoHarvest,EcoHarvest Reduced Fat Frozen Pizza,E-00227-I,4.39,1.84,1.55,1,yes
228,Golden Harvest,Golden Harvest Lite Bar Soap,GH-00228-A,$5.25,3.35,1.13,0,False
229,GreenLeaf,GreenLeaf Fresh Milk,G-00229-B,4.06,2.41,1.27,1,False
230,greenleaf,GreenLeaf Gourmet Soda,G-00230-X,3.52,2.09,1.2,1,0
231,Farmhouse Select,Farmhouse Select Family Size Pork Chops,FS-00231-B,8.21,5.59,2.98,0.0,0
232,Hilltop Farms,Hilltop Farms Traditional Cheese,HF-00232-Z,4.91,3.4,1.54,Yes,1
233,wholesome co  ,Wholesome Co Low Sodium Bacon,WC-00233-O,10.01,3.56,1.47,0,0
234,Family Choice,Family Choice Fresh Tea,FC-00234-I,4.24,2.72,2.51,0,0
235,EcoHarvest,EcoHarvest Fresh Bottled Water,E-00235-B,$3.69,2.26,1.33,0.0,No
236,prime select,Prime Select Original Sausage,PS-00236-C,11.92,8.2,,1,0
237,sunrise organics,Sunrise Organics Organic Napkins,SO-00237-Y,8.42,,0.96,False,N
238,BluePeak,BluePeak Gourmet Laundry Detergent,B-00238-H,9.07,5.95,2.11,1,0
239,Golden Harvest,Golden Harvest Original Apples,GH-00239-W,$1.66,0.64,1.57,1,0
240,silver creek,Silver Creek Deluxe Ham,SC-00240-T,7.23,4.04,2.3,1,0.0
241,Wholesome Co,Wholesome Co Reduced Fat Coffee,WC-00241-I,$1.61,1.11,1.11,0,no
242,Farmhouse Select,Farmhouse Select Low Sodium Ice Cream,FS-00242-X,2.62,1.4,,0,0
243,GreenLeaf,GreenLeaf Mini Yogurt,G-00243-Z,4.05,2.7,1.97,0,1
244,TrueTaste,TrueTaste Mini Toothpaste,T-00244-T,5.26,2.7,0.24,True,0
245,Prime Select,Prime Select Gourmet Bottled Water,PS-00245-R,2.89,1.84,1.26,0,0
246,Premium Choice  ,Premium Choice Gourmet Sausage,PC-00246-W,5.25,3.21,1.84,N,No
247,EcoHarvest,EcoHarvest Classic Yogurt,E-00247-T,1.7,0.69,1.11,1,0
248,Value Plus,Value Plus Fresh Chicken Breast,VP-00248-T,4.31,1.9,3.26,1,0
249,  Heritage Foods  ,Heritage Foods Low Sodium Carrots,HF-00249-U,1.12,0.59,0.9,1,0
250,Prime Select,Prime Select Jumbo Cookies,PS-00250-S,3.78,2.61,0.71,Y,0
251,Premium Choice,Premium Choice Family Size Tomatoes,PC-00251-L,2.34,1.62,1.77,1,0
252,Family Choice,Family Choice Traditional Ice Cream,fc-00252-a,3.67,1.51,2.88,yes,1
253,Wholesome Co,Wholesome Co Gourmet Waffles,WC-00253-L,7.42,3.59,2.68,True,1
254,Sunrise Organics,Sunrise Organics Jumbo Sour Cream,SO-00254-Y,5.01,2.74,1.89,Yes,0
255,Golden Harvest,Golden Harvest Original Milk,GH-00255-M,$5.30,3.03,0.59,No,0
256,SUNRISE ORGANICS,Sunrise Organics Original Toothpaste,SO-00256-O,11.0,6.26,0.36,,0
257,Golden Valley,Golden Valley Fresh Laundry Detergent,GV-00257-L,3.2,1.66,3.25,1,no
258,Sunrise Organics,Sunrise Organics Lite Sour Cream,SO-00258-I,3.8,1.61,1.3,True,N
259,Crystal Springs,Crystal Springs Classic Deodorant,CS-00259-Z,8.15,3.88,0.38,0,N
260,Value Plus,Value Plus Organic Popcorn,VP-00260-U,3.84,1.37,0.79,1,0
261,Golden Harvest,Golden Harvest Classic Tilapia,GH-00261-F,9.12,3.56,0.67,0,0
262,Family Choice,Family Choice Jumbo Cheese,FC-00262-R,5.04,2.83,1.9,,1
263,  BluePeak  ,BluePeak Extra Crunchy Carrots,B-00263-V,0.87,0.5,1.43,1,0
264,Value Plus,Value Plus Jumbo Popcorn,VP-00264-P,$4.77,1.74,0.99,0,False
265,Urban Pantry,Urban Pantry Family Size Napkins,UP-00265-Q,4.6,2.61,,1,0
266,Wholesome Co,Wholesome Co Traditional Bananas,WC-00266-U,0.66,0.4,0.82,1,0
267,Farmhouse Select,Farmhouse Select Value Pack Cookies,FS-00267-X,3.26,2.25,0.6,0,1
268,Premium Choice,Premium Choice Fresh Muffins,PC-00268-V,3.81,2.1,1.18,1.0,N
269,Heritage Foods,Heritage Foods Organic Muffins,HF-00269-J,4.15,1.77,0.41,no,0
270,Everyday Basics,Everyday Basics Extra Crunchy Butter,EB-00270-T,3.44,1.33,2.23,no,0
271,Natures Best,Natures Best Family Size Laundry Detergent,NB-00271-Z,7.64,3.97,1.63,1,0.0
272,Crystal Springs,Crystal Springs Original Shrimp,CS-00272-G,13.04,6.28,2.36,0,0.0
273,Farmhouse Select,Farmhouse Select Deluxe Ham,FS-00273-J,10.56,5.12,3.22,Yes,no
274,TrueTaste,TrueTaste Extra Crunchy Tuna,T-00274-D,$15.86,9.99,0.99,No,0
275,Natures Best,Natures Best Lite Donuts,NB-00275-H,5.34,2.52,1.2,Yes,No
